Model,Train_RMSE,Train_MAE,Train_R2,Train_Spearman,Test_RMSE,Test_MAE,Test_R2,Test_Spearman
ElasticNet__QuantileNorm,24.815867598891924,20.2231402515079,0.4451864465498485,0.6791416741964863,24.76023101542522,20.01194641219913,0.4577211480834906,0.6837859160522156
Lasso__QuantileNorm,24.815772280947602,20.222884565578426,0.4451907086281839,0.6791572186746389,24.76287926371772,20.011247776786654,0.45760514223187143,0.6835877436055406
OLS__QuantileNorm,24.81576274432343,20.22236645204516,0.4451911350510752,0.6791710683596022,24.762895048663644,20.009392717648463,0.45760445073908207,0.6835735850025452
Lasso__MaxAbsScaler,25.692177698918208,21.06830457289814,0.40531091240258854,0.6526886900520197,25.695555590905006,20.828628714538965,0.41597786434502093,0.6681623296038767
Lasso__MinMaxScaler,25.69217148559804,21.0683429454548,0.4053112000382494,0.6526192395268647,25.696225481659084,20.82925755306873,0.41594741268755653,0.6682302429029915
ElasticNet__RobustScaler,25.692075042067856,21.065236192458265,0.4053156647273951,0.65267920633429,25.69711483511438,20.82568875937232,0.4159069835454815,0.6683323528279858
ElasticNet__StandardScaler,25.692043679992754,21.064972865322314,0.405317116577693,0.6526673656541737,25.69855589194399,20.82509215882568,0.41584147153474715,0.6682341305194073
Lasso__NoScaler,25.6933212082418,21.077082459302993,0.4052579742937412,0.6524241617066424,25.700365096475544,20.841171461842652,0.41575921792770554,0.6678986916165709
Lasso__RobustScaler,25.69201546145468,21.06450663498245,0.4053184229021395,0.6526541800131791,25.700682688076846,20.82394058115047,0.4157447783575834,0.6681803038303915
Lasso__StandardScaler,25.692014283911345,21.06444829575472,0.40531847741427496,0.6526525628355186,25.7008877960094,20.823824987503254,0.41573545285753877,0.6682008698011835
ElasticNet__MaxAbsScaler,25.72854461191661,21.15183654728921,0.4036261729520316,0.6510694662661775,25.70174199333404,20.955005644763837,0.41569661486013554,0.6690903180408978
OLS__MinMaxScaler,25.692011624091016,21.064090046177668,0.4053186005456032,0.6526445384397122,25.701773749555834,20.823279417478037,0.4156951709673937,0.6681542663994589
OLS__NoScaler,25.692011624091016,21.064090046177686,0.4053186005456032,0.6526445384397122,25.701773749555837,20.823279417478098,0.4156951709673936,0.6681542663994589
OLS__StandardScaler,25.692011624091016,21.064090046177668,0.4053186005456032,0.6526445384397122,25.701773749555837,20.823279417478037,0.4156951709673936,0.6681542663994589
OLS__MaxAbsScaler,25.692011624091016,21.064090046177665,0.4053186005456032,0.6526445384397122,25.701773749555837,20.82327941747803,0.4156951709673936,0.6681542663994589
OLS__RobustScaler,25.692011624091016,21.06409004617767,0.4053186005456032,0.6526445384397122,25.70177374955584,20.823279417478034,0.4156951709673935,0.6681542663994589
ElasticNet__MinMaxScaler,25.743382124034987,21.16600294333981,0.40293812350973446,0.6499533553369403,25.76110823254213,20.99394656000299,0.41299423337714924,0.666561999505619
ElasticNet__NoScaler,26.097120492597355,21.66477717428847,0.3864170026913477,0.6383272964060166,25.92478209867054,21.43689927826237,0.4055114249636822,0.664672017986755
KNN__MaxAbsScaler,24.613247739494156,19.903769841269842,0.45420948862391386,0.6965483444955701,27.538103760610657,22.50365079365079,0.3292180818127013,0.5920222138218539
KNN__MinMaxScaler,24.76949873252015,20.049960317460318,0.4472578664279694,0.6908709997541681,27.54301628420072,22.448888888888888,0.3289787388322387,0.5971024202723848
KNN__RobustScaler,24.953434410695632,20.014603174603177,0.43901817680688393,0.6942927432506043,27.602047888137715,22.613650793650795,0.3260993221721107,0.5903954906022194
KNN__Power_YeoJohnson,24.762671760099167,19.921666666666667,0.4475625181537599,0.6987474887324393,27.700176780136143,22.46809523809524,0.32129919459098377,0.5945472862410949
KNN__StandardScaler,25.091877203336175,20.131666666666668,0.432776203830748,0.6887491517358119,27.790819256017535,22.74015873015873,0.3168501417576991,0.5891201206749365
KNN__QuantileNorm,24.766803498949063,20.056190476190476,0.44737815050136276,0.694807332863598,27.798515719197603,22.56111111111111,0.31647170269537794,0.5823656757618868
KNN__NoScaler,26.855368503528627,22.094841269841268,0.35024389731928895,0.586916286971609,28.7498052443369,24.154285714285717,0.2688893718711455,0.5034932872325505
SVR_RBF__NoScaler,29.948949865127386,24.59273936482988,0.19192562917417955,0.44210478774167644,29.37744845162571,24.481181107890585,0.23661885505402558,0.4906177196167442
